MRCA,Non-duplication Per,Duplication Per,Non-duplication,Duplication,Total,group
N2,81.71709335,18.28290665,3160,707,3867,Experimental_data
N3,57.43038324,42.56961676,2083,1544,3627,Experimental_data
N4,88.45930233,11.54069767,3043,397,3440,Experimental_data
N5,76.14169868,23.85830132,3568,1118,4686,Experimental_data
N2,91.59663866,8.403361345,218,20,238,Null_summary
N3,84.57943925,15.42056075,181,33,214,Null_summary
N4,87.31707317,12.68292683,179,26,205,Null_summary
N5,75.81395349,24.18604651,163,52,215,Null_summary
N2,92.01680672,7.983193277,219,19,238,Null_summary
N3,80.7860262,19.2139738,185,44,229,Null_summary
N4,85.37735849,14.62264151,181,31,212,Null_summary
N5,75,25,162,54,216,Null_summary
N2,94.71544715,5.284552846,233,13,246,Null_summary
N3,76.88888889,23.11111111,173,52,225,Null_summary
N4,87.44186047,12.55813953,188,27,215,Null_summary
N5,76.88679245,23.11320755,163,49,212,Null_summary
N2,90.57377049,9.426229508,221,23,244,Null_summary
N3,81.93832599,18.06167401,186,41,227,Null_summary
N4,88.2629108,11.7370892,188,25,213,Null_summary
N5,72.33009709,27.66990291,149,57,206,Null_summary
N2,89.83050847,10.16949153,212,24,236,Null_summary
N3,78.35497835,21.64502165,181,50,231,Null_summary
N4,85.11627907,14.88372093,183,32,215,Null_summary
N5,76.88679245,23.11320755,163,49,212,Null_summary
N2,91.47286822,8.527131783,236,22,258,Null_summary
N3,77.13004484,22.86995516,172,51,223,Null_summary
N4,84.3902439,15.6097561,173,32,205,Null_summary
N5,69.52380952,30.47619048,146,64,210,Null_summary
N2,93.36099585,6.639004149,225,16,241,Null_summary
N3,82.51121076,17.48878924,184,39,223,Null_summary
N4,87.96296296,12.03703704,190,26,216,Null_summary
N5,77.57847534,22.42152466,173,50,223,Null_summary
N2,96.51162791,3.488372093,249,9,258,Null_summary
N3,83.05785124,16.94214876,201,41,242,Null_summary
N4,88.53211009,11.46788991,193,25,218,Null_summary
N5,72.92576419,27.07423581,167,62,229,Null_summary
N2,94.30894309,5.691056911,232,14,246,Null_summary
N3,81.22270742,18.77729258,186,43,229,Null_summary
N4,87.73584906,12.26415094,186,26,212,Null_summary
N5,78.18181818,21.81818182,172,48,220,Null_summary
N2,93.41563786,6.58436214,227,16,243,Null_summary
N3,80.26315789,19.73684211,183,45,228,Null_summary
N4,84.95575221,15.04424779,192,34,226,Null_summary
N5,79.8245614,20.1754386,182,46,228,Null_summary
N2,94.26229508,5.737704918,230,14,244,Null_summary
N3,83.40425532,16.59574468,196,39,235,Null_summary
N4,79.72972973,20.27027027,177,45,222,Null_summary
N5,77.46478873,22.53521127,165,48,213,Null_summary
N2,92.70386266,7.296137339,216,17,233,Null_summary
N3,81.77966102,18.22033898,193,43,236,Null_summary
N4,83.17757009,16.82242991,178,36,214,Null_summary
N5,73.55769231,26.44230769,153,55,208,Null_summary
N2,94.06779661,5.93220339,222,14,236,Null_summary
N3,79.03930131,20.96069869,181,48,229,Null_summary
N4,88.83928571,11.16071429,199,25,224,Null_summary
N5,76.49769585,23.50230415,166,51,217,Null_summary
N2,93.22709163,6.772908367,234,17,251,Null_summary
N3,79.13043478,20.86956522,182,48,230,Null_summary
N4,86.95652174,13.04347826,180,27,207,Null_summary
N5,76.99530516,23.00469484,164,49,213,Null_summary
N2,91.42857143,8.571428571,224,21,245,Null_summary
N3,82.90598291,17.09401709,194,40,234,Null_summary
N4,85.78199052,14.21800948,181,30,211,Null_summary
N5,73.02325581,26.97674419,157,58,215,Null_summary
N2,94.75982533,5.240174672,217,12,229,Null_summary
N3,79.55555556,20.44444444,179,46,225,Null_summary
N4,85.4368932,14.5631068,176,30,206,Null_summary
N5,75,25,156,52,208,Null_summary
N2,91.53225806,8.467741935,227,21,248,Null_summary
N3,75.10548523,24.89451477,178,59,237,Null_summary
N4,84.61538462,15.38461538,187,34,221,Null_summary
N5,76.78571429,23.21428571,172,52,224,Null_summary
N2,94.65020576,5.349794239,230,13,243,Null_summary
N3,74.88986784,25.11013216,170,57,227,Null_summary
N4,83.87096774,16.12903226,182,35,217,Null_summary
N5,74.19354839,25.80645161,161,56,217,Null_summary
N2,93.58974359,6.41025641,219,15,234,Null_summary
N3,81.90045249,18.09954751,181,40,221,Null_summary
N4,84.83412322,15.16587678,179,32,211,Null_summary
N5,75.47169811,24.52830189,160,52,212,Null_summary
N2,92.88702929,7.112970711,222,17,239,Null_summary
N3,81.73515982,18.26484018,179,40,219,Null_summary
N4,85.64356436,14.35643564,173,29,202,Null_summary
N5,79.14691943,20.85308057,167,44,211,Null_summary
N2,93.33333333,6.666666667,224,16,240,Null_summary
N3,82.30088496,17.69911504,186,40,226,Null_summary
N4,89.94974874,10.05025126,179,20,199,Null_summary
N5,81.64251208,18.35748792,169,38,207,Null_summary
N2,93.33333333,6.666666667,238,17,255,Null_summary
N3,80.43478261,19.56521739,185,45,230,Null_summary
N4,85.78199052,14.21800948,181,30,211,Null_summary
N5,74.17840376,25.82159624,158,55,213,Null_summary
N2,89.96138996,10.03861004,233,26,259,Null_summary
N3,82.40343348,17.59656652,192,41,233,Null_summary
N4,87.03703704,12.96296296,188,28,216,Null_summary
N5,72.07207207,27.92792793,160,62,222,Null_summary
N2,91.73913043,8.260869565,211,19,230,Null_summary
N3,82.87037037,17.12962963,179,37,216,Null_summary
N4,82.40740741,17.59259259,178,38,216,Null_summary
N5,73.85321101,26.14678899,161,57,218,Null_summary
N2,91.6,8.4,229,21,250,Null_summary
N3,79.37219731,20.62780269,177,46,223,Null_summary
N4,81.77570093,18.22429907,175,39,214,Null_summary
N5,79.90654206,20.09345794,171,43,214,Null_summary
N2,93.46153846,6.538461538,243,17,260,Null_summary
N3,79.83870968,20.16129032,198,50,248,Null_summary
N4,87.39130435,12.60869565,201,29,230,Null_summary
N5,72.76595745,27.23404255,171,64,235,Null_summary
N2,91.22807018,8.771929825,208,20,228,Null_summary
N3,80.86956522,19.13043478,186,44,230,Null_summary
N4,92.41706161,7.582938389,195,16,211,Null_summary
N5,76.44230769,23.55769231,159,49,208,Null_summary
N2,89.62655602,10.37344398,216,25,241,Null_summary
N3,76.29310345,23.70689655,177,55,232,Null_summary
N4,89.09952607,10.90047393,188,23,211,Null_summary
N5,74.43946188,25.56053812,166,57,223,Null_summary
N2,92.24806202,7.751937984,238,20,258,Null_summary
N3,82.66129032,17.33870968,205,43,248,Null_summary
N4,83.25991189,16.74008811,189,38,227,Null_summary
N5,78.85462555,21.14537445,179,48,227,Null_summary
N2,92.79661017,7.203389831,219,17,236,Null_summary
N3,81.08108108,18.91891892,180,42,222,Null_summary
N4,83.18181818,16.81818182,183,37,220,Null_summary
N5,77.77777778,22.22222222,168,48,216,Null_summary
N2,92.11618257,7.883817427,222,19,241,Null_summary
N3,80.09049774,19.90950226,177,44,221,Null_summary
N4,87.67123288,12.32876712,192,27,219,Null_summary
N5,75.79908676,24.20091324,166,53,219,Null_summary
N2,91.05691057,8.943089431,224,22,246,Null_summary
N3,80.25751073,19.74248927,187,46,233,Null_summary
N4,86.09865471,13.90134529,192,31,223,Null_summary
N5,78.89908257,21.10091743,172,46,218,Null_summary
N2,95.23809524,4.761904762,240,12,252,Null_summary
N3,78.87931034,21.12068966,183,49,232,Null_summary
N4,83.70044053,16.29955947,190,37,227,Null_summary
N5,77.15517241,22.84482759,179,53,232,Null_summary
N2,91.84549356,8.154506438,214,19,233,Null_summary
N3,81.4479638,18.5520362,180,41,221,Null_summary
N4,83.00970874,16.99029126,171,35,206,Null_summary
N5,76.73267327,23.26732673,155,47,202,Null_summary
N2,90.5982906,9.401709402,212,22,234,Null_summary
N3,82.75862069,17.24137931,192,40,232,Null_summary
N4,85.8490566,14.1509434,182,30,212,Null_summary
N5,74.53703704,25.46296296,161,55,216,Null_summary
N2,90.51724138,9.482758621,210,22,232,Null_summary
