BME_1,BME_2,BME_L2F,L2F_1,L2F_2,L2F_diff,chromPair,,group
Aspi01Gene00003_Aspi01Gene18626,1725.602325,843.2400271,1.03308477,0.206859602,-1.879148219,2.086007821,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00007_Aspi01Gene18628,453.9751402,85.12486034,2.414960866,-2.494758723,-2.722757659,0.227998936,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00025_Aspi01Gene18643,797.0124185,762.5786357,0.06371609,-1.641179985,-1.55012378,0.091056205,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00033_Aspi01Gene18645,290.683849,76.63679003,1.923341875,0.230405675,5.849220326,5.618814651,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00049_Aspi01Gene18659,162.3946137,396.7510731,-1.288730343,-5.611949119,8.548674357,14.16062348,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00053_Aspi01Gene18662,620.0788319,937.8035708,-0.596834132,4.511605194,1.479807128,3.031798066,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00058_Aspi01Gene18681,127.2327114,767.677784,-2.593031265,-2.892658343,-0.278527918,2.614130425,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00061_Aspi01Gene18682,235.7111071,863.0869496,-1.872486165,-1.771834492,0.062185972,1.834020464,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00212_Aspi01Gene03491,112.2402725,399.9536879,-1.833242537,1.330838408,0.899721718,0.43111669,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00230_Aspi01Gene03478,123.6827046,146.7890421,-0.247100501,1.737863548,1.952755591,0.214892043,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00238_Aspi01Gene03462,17.09842192,98.94937984,-2.532827486,-6.787932565,1.757219939,8.545152504,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00242_Aspi01Gene03454,425.3291855,351.8441264,0.273643425,-1.518109938,-0.590686533,0.927423406,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00249_Aspi01Gene03444,78.27132114,83.57543433,-0.094595151,-1.503581404,2.254705589,3.758286993,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00258_Aspi01Gene03439,23.36762615,43.91246082,-0.910119202,7.749200275,5.560806713,2.188393562,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00259_Aspi01Gene03432,820.3273344,175.3093667,2.226296621,-4.543583581,-2.471266215,2.072317366,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00263_Aspi01Gene03419,124.2271912,176.258873,-0.504714897,0.362059024,2.234273901,1.872214877,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00267_Aspi01Gene03405,697.0120446,1261.40818,-0.855779702,2.959256542,3.482585728,0.523329185,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00271_Aspi01Gene03403,565.678085,607.6872735,-0.103347798,0.225483662,0.867368659,0.641884997,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00272_Aspi01Gene03401,120.7778458,774.9972546,-2.681835354,-0.688615833,-0.104134826,0.584481007,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00274_Aspi01Gene03377,346.4542606,0.390955445,9.791444983,-0.042744452,-0.309665067,0.266920616,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00297_Aspi01Gene03758,545.7996763,297.570626,0.875139418,-1.219967162,0.074224275,1.294191437,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00301_Aspi01Gene03757,145.5766964,176.675937,-0.27932613,1.793822445,1.747187451,0.046634993,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00302_Aspi01Gene03738,470.3704484,798.3135228,-0.763158025,-0.059609474,0.33824532,0.397854794,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00306_Aspi01Gene03730,467.9245822,335.6924535,0.479135917,-3.860527191,-3.235445841,0.62508135,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00311_Aspi01Gene03722,156.6988812,98.57935986,0.668637362,1.86854195,0.96134813,0.90719382,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00316_Aspi01Gene03716,67.11426267,106.1284578,-0.661120264,-1.605308791,0.552661698,2.157970489,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00326_Aspi01Gene03700,2078.65333,1022.010957,1.024238508,0.017377209,3.221968889,3.20459168,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00332_Aspi01Gene03698,502.4016083,339.7537566,0.56435158,2.413058013,3.895683501,1.482625488,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00338_Aspi01Gene03696,217.8368984,1924.1472,-3.14289892,1.422375799,2.087548943,0.665173144,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00346_Aspi01Gene03688,110.2423519,35.64578687,1.628875099,1.144153235,0.607285769,0.536867466,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00348_Aspi01Gene03686,101.7850155,94.55149793,0.106352968,0.247725748,-0.304688468,0.552414216,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00350_Aspi01Gene03685,151.5580563,615.4021963,-2.02165905,-0.095356084,-0.646340245,0.550984161,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00353_Aspi01Gene03675,108.3756634,279.1370014,-1.36493255,-0.436180991,-0.213080338,0.223100653,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00360_Aspi01Gene03672,183.2906669,228.4202517,-0.31755724,1.751779932,-0.080403904,1.832183837,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00361_Aspi01Gene03669,280.3525838,459.3797097,-0.71244477,2.772354396,1.434877499,1.337476897,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00362_Aspi01Gene03664,6.77592087,42.66706057,-2.654633792,2.269929845,7.989725916,5.719796071,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00365_Aspi01Gene03661,79.14030828,317.3696605,-2.003679628,-0.431049287,-2.091087253,1.660037966,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00369_Aspi01Gene03657,2993.099822,3460.725154,-0.209433975,-0.453838043,0.224353526,0.678191569,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00371_Aspi01Gene03655,274.5367749,154.5013026,0.829380413,0.987270967,1.416655934,0.429384967,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00375_Aspi01Gene03654,221.4598244,211.3410146,0.067472223,1.3663711,1.320078669,0.046292431,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00376_Aspi01Gene03639,359.3158576,79.19729574,2.181729533,0.492155021,1.49245901,1.000303989,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00385_Aspi01Gene03622,896.9948378,9.19598174,6.607952271,-1.243038466,-5.751831365,4.508792899,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00440_Aspi01Gene04019,166.0737429,107.7520186,0.624109097,-3.901778993,-1.974894903,1.92688409,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00447_Aspi01Gene04013,291.9158558,526.7009603,-0.851431515,-1.735712685,-2.052111681,0.316398995,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00454_Aspi01Gene03993,1212.733527,716.3455395,0.759535018,-0.984716034,1.177592968,2.162309002,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00456_Aspi01Gene03989,244.5255148,3263.300286,-3.738274834,1.538214656,1.22009596,0.318118696,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00461_Aspi01Gene03984,296.8147661,644.6271036,-1.118901983,-1.275218122,-3.106002321,1.830784199,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00466_Aspi01Gene03980,2099.375324,1605.40103,0.387026385,1.105872034,2.712473455,1.606601421,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00468_Aspi01Gene03970,29.07543789,5.220455133,2.477553424,-10.25328144,-8.636134821,1.617146622,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00469_Aspi01Gene03969,609.8950582,669.6919083,-0.13493651,0.289148933,-0.583842174,0.872991107,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00473_Aspi01Gene03967,109.6265728,769.5746119,-2.811463665,1.578705887,-0.824420817,2.403126704,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00475_Aspi01Gene03958,1566.115403,9.862745899,7.310985445,-2.963224034,-2.622511366,0.340712668,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00480_Aspi01Gene03952,330.1216092,260.6205213,0.341046891,5.441229049,1.376574014,4.064655035,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00498_Aspi01Gene03927,279.5300049,222.1494825,0.33147237,2.092223465,-0.63145205,2.723675514,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00505_Aspi01Gene03879,193.5289322,625.7525161,-1.693042924,2.055412536,6.836872728,4.781460193,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00509_Aspi01Gene03875,1510.968997,202.9406529,2.89634426,9.871356113,6.747118435,3.124237678,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00512_Aspi01Gene03859,173.7654369,133.1404475,0.384192226,1.320202243,0.344841194,0.975361049,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00518_Aspi01Gene03853,0.062569663,116.5689573,-10.86343268,-1.591785106,1.467463179,3.059248286,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00526_Aspi01Gene03848,1.277551273,138.244121,-6.757693126,-1.037596776,0.488875633,1.526472409,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00529_Aspi01Gene03847,30.63040691,25.52119932,0.263268405,-2.196253753,-0.631082426,1.565171327,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00532_Aspi01Gene03845,157.3221663,101.3007049,0.635077744,3.757615602,2.257031072,1.50058453,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00533_Aspi01Gene03844,423.5769714,477.1599228,-0.171848718,-0.726497645,0.716239595,1.44273724,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00535_Aspi01Gene03841,14.11732024,373.519222,-4.725644323,-3.681502946,3.222008086,6.903511032,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00538_Aspi01Gene03835,51.69442599,2.793871709,4.209671048,-0.084668129,1.370803319,1.455471448,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00539_Aspi01Gene03826,248.328316,2166.887688,-3.125303698,-2.820302115,0.091887986,2.912190101,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00547_Aspi01Gene03822,663.9701094,1354.356329,-1.028417159,1.547070842,2.790432193,1.243361351,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00553_Aspi01Gene03817,640.7908287,68.27062891,3.230516552,-2.015388668,-2.657671482,0.642282813,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00569_Aspi01Gene03791,61.93271121,81.32955868,-0.393078182,4.306171836,4.282764818,0.023407019,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00591_Aspi01Gene04028,666.3717387,506.687542,0.395230859,0.801703141,-1.15329187,1.954995011,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00598_Aspi01Gene04036,123.4761683,124.6502257,-0.013652876,0.691947593,-1.942215319,2.634162912,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00622_Aspi01Gene04056,1.808366522,25.47355816,-3.816241471,-6.357215703,-5.189213215,1.168002488,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00638_Aspi01Gene04072,43.78591079,333.6189043,-2.929662414,-9.305586093,3.475286933,12.78087303,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00650_Aspi01Gene04097,378.2590397,101.0480504,1.904333074,10.38268171,6.793800825,3.588880887,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00654_Aspi01Gene04107,328.0088669,449.4781731,-0.454516244,6.459919327,3.766789216,2.69313011,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00658_Aspi01Gene04108,84.40711922,458.3562107,-2.441032631,-1.222508952,-0.263687736,0.958821216,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00663_Aspi01Gene04139,214.189126,193.6808011,0.145204287,-3.269721029,0.096823791,3.36654482,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00665_Aspi01Gene04141,133.0836452,173.448184,-0.382171448,-1.750135346,1.000961021,2.751096367,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00667_Aspi01Gene04149,33.35371607,306.1702548,-3.198414716,-2.508559626,0.318021539,2.826581165,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00676_Aspi01Gene04156,545.4416494,473.0886542,0.205314305,-3.009820697,-3.609797406,0.599976709,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00680_Aspi01Gene04165,1694.850871,1196.817853,0.501954736,1.396936715,-0.535524273,1.932460988,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00693_Aspi01Gene04174,111.0562771,121.1787952,-0.125846329,0.527730884,-0.411053894,0.938784777,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00697_Aspi01Gene04178,548.8512542,474.7462151,0.209258715,1.359066745,0.467865824,0.891200922,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
Aspi01Gene00700_Aspi01Gene04189,1719.716247,5640.443715,-1.713638119,0.127670172,-0.874005217,1.001675388,i0-i0,Aspi_data_all-DESEQ2_res.Le-Ga-ALLsynPairs_toPlot
