Genepair,LeSt,StSo,SoLe,LeGa,StGa,SoGa
Aspi01Gene00003_Aspi01Gene18626,1,0,1,1,0,0
Aspi01Gene00007_Aspi01Gene18628,1,0,1,0,1,1
Aspi01Gene00025_Aspi01Gene18643,0,0,0,0,0,0
Aspi01Gene00033_Aspi01Gene18645,0,1,1,1,1,1
Aspi01Gene00049_Aspi01Gene18659,1,1,0,1,1,1
Aspi01Gene00053_Aspi01Gene18662,0,0,1,1,0,0
Aspi01Gene00058_Aspi01Gene18681,1,1,0,1,1,0
Aspi01Gene00061_Aspi01Gene18682,1,1,0,0,1,0
Aspi01Gene00212_Aspi01Gene03491,0,1,0,0,0,0
Aspi01Gene00230_Aspi01Gene03478,1,1,0,0,1,0
Aspi01Gene00238_Aspi01Gene03462,1,1,0,1,1,1
Aspi01Gene00242_Aspi01Gene03454,0,0,0,0,0,0
Aspi01Gene00249_Aspi01Gene03444,1,0,1,1,0,0
Aspi01Gene00258_Aspi01Gene03439,0,1,1,1,0,1
Aspi01Gene00259_Aspi01Gene03432,0,0,0,1,0,0
Aspi01Gene00263_Aspi01Gene03419,0,0,0,0,0,0
Aspi01Gene00267_Aspi01Gene03405,0,0,0,0,0,0
Aspi01Gene00271_Aspi01Gene03403,0,0,0,0,0,1
Aspi01Gene00272_Aspi01Gene03401,1,1,1,0,0,1
Aspi01Gene00274_Aspi01Gene03377,0,1,1,0,0,1
Aspi01Gene00297_Aspi01Gene03758,0,0,0,0,0,0
Aspi01Gene00301_Aspi01Gene03757,0,0,0,0,0,0
Aspi01Gene00302_Aspi01Gene03738,1,0,0,0,0,0
Aspi01Gene00306_Aspi01Gene03730,0,0,0,0,0,0
Aspi01Gene00311_Aspi01Gene03722,0,1,1,0,0,1
Aspi01Gene00316_Aspi01Gene03716,0,1,0,1,1,0
Aspi01Gene00326_Aspi01Gene03700,0,0,0,1,1,1
Aspi01Gene00332_Aspi01Gene03698,1,1,0,0,0,1
Aspi01Gene00338_Aspi01Gene03696,1,0,0,0,1,0
Aspi01Gene00346_Aspi01Gene03688,0,0,0,0,0,0
Aspi01Gene00348_Aspi01Gene03686,0,0,0,0,0,0
Aspi01Gene00350_Aspi01Gene03685,0,1,1,0,0,0
Aspi01Gene00353_Aspi01Gene03675,0,0,0,0,0,0
Aspi01Gene00360_Aspi01Gene03672,0,0,0,0,0,0
Aspi01Gene00361_Aspi01Gene03669,0,0,0,0,0,0
Aspi01Gene00362_Aspi01Gene03664,1,1,1,1,0,1
Aspi01Gene00365_Aspi01Gene03661,0,0,0,0,0,0
Aspi01Gene00369_Aspi01Gene03657,0,0,0,0,0,0
Aspi01Gene00371_Aspi01Gene03655,0,0,0,0,0,0
Aspi01Gene00375_Aspi01Gene03654,0,0,0,0,0,0
Aspi01Gene00376_Aspi01Gene03639,0,0,0,0,0,0
Aspi01Gene00385_Aspi01Gene03622,1,1,0,1,1,1
Aspi01Gene00440_Aspi01Gene04019,0,0,0,0,0,0
Aspi01Gene00447_Aspi01Gene04013,1,0,0,0,0,0
Aspi01Gene00454_Aspi01Gene03993,1,1,0,1,1,0
Aspi01Gene00456_Aspi01Gene03989,1,0,0,0,0,0
Aspi01Gene00461_Aspi01Gene03984,0,1,1,0,0,1
Aspi01Gene00466_Aspi01Gene03980,0,0,0,0,0,0
Aspi01Gene00468_Aspi01Gene03970,1,1,0,0,1,0
Aspi01Gene00469_Aspi01Gene03969,0,0,0,0,0,0
Aspi01Gene00473_Aspi01Gene03967,1,0,1,1,0,0
Aspi01Gene00475_Aspi01Gene03958,0,0,0,0,0,0
Aspi01Gene00480_Aspi01Gene03952,0,1,1,1,1,1
Aspi01Gene00498_Aspi01Gene03927,0,1,1,1,1,1
Aspi01Gene00505_Aspi01Gene03879,1,1,0,1,1,1
Aspi01Gene00509_Aspi01Gene03875,1,1,1,1,1,1
Aspi01Gene00512_Aspi01Gene03859,0,1,1,0,0,1
Aspi01Gene00518_Aspi01Gene03853,0,0,0,1,1,1
Aspi01Gene00526_Aspi01Gene03848,0,0,0,0,0,1
Aspi01Gene00529_Aspi01Gene03847,0,0,0,0,0,0
Aspi01Gene00532_Aspi01Gene03845,0,1,1,0,1,1
Aspi01Gene00533_Aspi01Gene03844,0,1,0,0,0,1
Aspi01Gene00535_Aspi01Gene03841,1,1,1,1,1,0
Aspi01Gene00538_Aspi01Gene03835,1,1,0,0,0,1
Aspi01Gene00539_Aspi01Gene03826,0,0,0,1,0,1
Aspi01Gene00547_Aspi01Gene03822,0,0,0,0,0,0
Aspi01Gene00553_Aspi01Gene03817,0,0,0,0,0,0
Aspi01Gene00569_Aspi01Gene03791,0,1,1,0,0,1
Aspi01Gene00591_Aspi01Gene04028,0,0,0,0,1,1
Aspi01Gene00598_Aspi01Gene04036,1,1,0,1,1,0
Aspi01Gene00622_Aspi01Gene04056,1,1,1,0,1,1
Aspi01Gene00638_Aspi01Gene04072,1,1,1,1,1,0
Aspi01Gene00650_Aspi01Gene04097,0,0,0,1,1,1
Aspi01Gene00654_Aspi01Gene04107,1,1,0,1,0,0
Aspi01Gene00658_Aspi01Gene04108,0,1,0,0,0,0
Aspi01Gene00663_Aspi01Gene04139,0,0,0,1,1,1
Aspi01Gene00665_Aspi01Gene04141,0,0,0,1,0,0
Aspi01Gene00667_Aspi01Gene04149,0,1,1,1,0,0
Aspi01Gene00676_Aspi01Gene04156,0,0,0,0,0,0
Aspi01Gene00680_Aspi01Gene04165,0,0,0,0,0,0
Aspi01Gene00693_Aspi01Gene04174,0,0,0,0,0,0
Aspi01Gene00697_Aspi01Gene04178,0,0,0,0,0,0
Aspi01Gene00700_Aspi01Gene04189,0,0,0,0,0,0
Aspi01Gene00701_Aspi01Gene04191,1,1,0,0,1,0
Aspi01Gene00704_Aspi01Gene04192,0,0,1,1,1,1
Aspi01Gene00706_Aspi01Gene04198,0,0,0,0,0,0
Aspi01Gene00713_Aspi01Gene04200,0,0,0,0,0,0
Aspi01Gene00716_Aspi01Gene04214,0,0,0,0,0,0
Aspi01Gene00724_Aspi01Gene04245,0,0,0,0,0,0
Aspi01Gene00746_Aspi01Gene04280,0,0,0,0,0,0
Aspi01Gene00747_Aspi01Gene04281,0,0,0,0,0,0
Aspi01Gene00759_Aspi01Gene04291,1,0,1,0,0,0
Aspi01Gene00766_Aspi01Gene04293,0,0,1,1,1,1
Aspi01Gene00773_Aspi01Gene04296,0,0,0,1,1,0
Aspi01Gene00782_Aspi01Gene04299,0,0,0,0,0,0
Aspi01Gene00784_Aspi01Gene04300,0,0,0,0,0,0
Aspi01Gene00793_Aspi01Gene04303,1,1,1,0,1,1
Aspi01Gene00795_Aspi01Gene04306,1,0,1,1,1,0
Aspi01Gene00798_Aspi01Gene04309,1,1,1,1,1,0
Aspi01Gene00810_Aspi01Gene04318,0,1,0,0,0,1
Aspi01Gene00812_Aspi01Gene04322,0,0,0,1,0,0
Aspi01Gene00814_Aspi01Gene04325,0,1,1,0,0,1
Aspi01Gene00819_Aspi01Gene04329,0,0,0,1,1,1
Aspi01Gene00899_Aspi01Gene28947,1,0,0,0,0,0
Aspi01Gene00909_Aspi01Gene28937,0,0,0,0,0,0
Aspi01Gene00923_Aspi01Gene28924,0,0,0,0,0,0
Aspi01Gene00926_Aspi01Gene28922,0,1,1,1,1,0
Aspi01Gene00928_Aspi01Gene28918,0,0,0,0,0,0
Aspi01Gene00931_Aspi01Gene28917,0,1,1,1,1,1
Aspi01Gene00937_Aspi01Gene28894,0,1,0,1,1,1
Aspi01Gene00938_Aspi01Gene28886,0,0,0,0,0,0
Aspi01Gene00942_Aspi01Gene28876,0,0,0,1,1,1
Aspi01Gene00953_Aspi01Gene28852,1,1,0,1,0,1
Aspi01Gene00968_Aspi01Gene28802,1,1,0,1,1,1
Aspi01Gene00983_Aspi01Gene28814,0,0,0,0,0,0
Aspi01Gene00995_Aspi01Gene28806,0,0,0,0,0,0
Aspi01Gene00999_Aspi01Gene28822,0,1,0,0,1,0
Aspi01Gene01000_Aspi01Gene28823,0,1,0,0,0,0
Aspi01Gene01002_Aspi01Gene28825,1,1,1,1,1,1
Aspi01Gene01008_Aspi01Gene28835,0,1,0,0,1,0
Aspi01Gene01011_Aspi01Gene28845,0,0,0,0,0,0
Aspi01Gene01017_Aspi01Gene28766,1,0,1,1,0,0
Aspi01Gene01020_Aspi01Gene28763,1,0,1,1,0,1
Aspi01Gene01034_Aspi01Gene28758,0,1,1,1,1,0
Aspi01Gene01041_Aspi01Gene28757,0,0,0,0,0,0
Aspi01Gene01044_Aspi01Gene28741,1,1,0,0,1,1
Aspi01Gene01056_Aspi01Gene28731,0,1,1,0,0,0
Aspi01Gene01059_Aspi01Gene28725,0,0,0,0,0,0
Aspi01Gene01082_Aspi01Gene28709,1,1,1,1,0,1
Aspi01Gene01104_Aspi01Gene28668,0,1,0,1,1,1
Aspi01Gene01115_Aspi01Gene28663,0,0,0,0,0,0
Aspi01Gene01120_Aspi01Gene28662,0,0,0,0,0,0
