Window,Region,Context,Leaf1_methy,Leaf2_methy,Leaf3_methy,group
1,Upstream,CG,0.882091369,0.89658373,0.906954049,Genome
2,Upstream,CG,0.879264869,0.890816212,0.903551876,Genome
3,Upstream,CG,0.879447482,0.889030329,0.904791803,Genome
4,Upstream,CG,0.883835703,0.894697294,0.907808223,Genome
5,Upstream,CG,0.877501228,0.886347199,0.900448236,Genome
6,Upstream,CG,0.878125277,0.887108763,0.901090425,Genome
7,Upstream,CG,0.878035474,0.887274963,0.901151625,Genome
8,Upstream,CG,0.8784014,0.885770044,0.902873756,Genome
9,Upstream,CG,0.877767608,0.884519823,0.90164358,Genome
10,Upstream,CG,0.874310402,0.881146409,0.897986583,Genome
11,Upstream,CG,0.876504608,0.882912942,0.900129611,Genome
12,Upstream,CG,0.879903724,0.889710086,0.904630375,Genome
13,Upstream,CG,0.879428269,0.887760432,0.90329477,Genome
14,Upstream,CG,0.876434803,0.883647255,0.899554332,Genome
15,Upstream,CG,0.87463326,0.881687432,0.896909468,Genome
16,Upstream,CG,0.876011603,0.883002491,0.89896,Genome
17,Upstream,CG,0.87526479,0.883049932,0.898725238,Genome
18,Upstream,CG,0.874686369,0.881951649,0.898849787,Genome
19,Upstream,CG,0.87843702,0.88568518,0.900502195,Genome
20,Upstream,CG,0.875375009,0.882922553,0.898953051,Genome
21,Upstream,CG,0.874585447,0.878981536,0.896139512,Genome
22,Upstream,CG,0.878285225,0.887264642,0.901279957,Genome
23,Upstream,CG,0.877641266,0.886423933,0.901717591,Genome
24,Upstream,CG,0.873718073,0.880697334,0.897730327,Genome
25,Upstream,CG,0.875556192,0.883996009,0.900034099,Genome
26,Upstream,CG,0.873761675,0.880759345,0.896677695,Genome
27,Upstream,CG,0.881086705,0.889893544,0.90314718,Genome
28,Upstream,CG,0.875704121,0.885999417,0.90021576,Genome
29,Upstream,CG,0.876017805,0.883934716,0.898833605,Genome
30,Upstream,CG,0.879133611,0.887264717,0.901779432,Genome
31,Upstream,CG,0.874669239,0.88315203,0.899040236,Genome
32,Upstream,CG,0.876506056,0.884738789,0.900259849,Genome
33,Upstream,CG,0.875367225,0.882895704,0.897201802,Genome
34,Upstream,CG,0.876615216,0.885355603,0.902217581,Genome
35,Upstream,CG,0.876477072,0.88241464,0.899084961,Genome
36,Upstream,CG,0.874286361,0.88180267,0.897691755,Genome
37,Upstream,CG,0.8791152,0.88522912,0.90070433,Genome
38,Upstream,CG,0.8690638,0.875133359,0.890222146,Genome
39,Upstream,CG,0.877868912,0.88643327,0.900818472,Genome
40,Upstream,CG,0.876713754,0.885167482,0.899711546,Genome
41,Upstream,CG,0.874469993,0.880852514,0.896754345,Genome
42,Upstream,CG,0.88033133,0.889705087,0.904203497,Genome
43,Upstream,CG,0.877502199,0.885379303,0.900049083,Genome
44,Upstream,CG,0.879108961,0.885712305,0.900952634,Genome
45,Upstream,CG,0.876578222,0.882452354,0.898916171,Genome
46,Upstream,CG,0.874391436,0.881285693,0.897773116,Genome
47,Upstream,CG,0.878041676,0.882465957,0.89935044,Genome
48,Upstream,CG,0.870265901,0.875738035,0.892430778,Genome
