MRCA,Non-duplication Per,Duplication Per,Non-duplication,Duplication,Total,group
N2,90.94792514,9.052074858,4471,445,4916,Experimental_data
N3,91.87624389,8.123756106,5078,449,5527,Experimental_data
N4,78.35003496,21.64996504,3362,929,4291,Experimental_data
N5,90.31868662,9.681313375,3741,401,4142,Experimental_data
N6,83.55920114,16.44079886,2343,461,2804,Experimental_data
N7,95.53521908,4.464780921,3445,161,3606,Experimental_data
N8,91.36724218,8.632757816,3916,370,4286,Experimental_data
N2,92.13836478,7.86163522,293,25,318,Null_summary
N3,99.31271478,0.687285223,289,2,291,Null_summary
N4,92.65734266,7.342657343,265,21,286,Null_summary
N5,94.87179487,5.128205128,222,12,234,Null_summary
N6,86.63366337,13.36633663,175,27,202,Null_summary
N7,82.5136612,17.4863388,151,32,183,Null_summary
N8,78.57142857,21.42857143,143,39,182,Null_summary
N2,92.20779221,7.792207792,284,24,308,Null_summary
N3,99.28571429,0.714285714,278,2,280,Null_summary
N4,91.51291513,8.487084871,248,23,271,Null_summary
N5,89.38053097,10.61946903,202,24,226,Null_summary
N6,81.1827957,18.8172043,151,35,186,Null_summary
N7,85.47486034,14.52513966,153,26,179,Null_summary
N8,78.80434783,21.19565217,145,39,184,Null_summary
N2,89.65517241,10.34482759,286,33,319,Null_summary
N3,98.92857143,1.071428571,277,3,280,Null_summary
N4,94.09594096,5.904059041,255,16,271,Null_summary
N5,91.59663866,8.403361345,218,20,238,Null_summary
N6,83.75634518,16.24365482,165,32,197,Null_summary
N7,85.16483516,14.83516484,155,27,182,Null_summary
N8,80.54054054,19.45945946,149,36,185,Null_summary
N2,90,10,279,31,310,Null_summary
N3,98.65771812,1.342281879,294,4,298,Null_summary
N4,93.33333333,6.666666667,266,19,285,Null_summary
N5,93.07359307,6.926406926,215,16,231,Null_summary
N6,80.64516129,19.35483871,150,36,186,Null_summary
N7,85.16483516,14.83516484,155,27,182,Null_summary
N8,76.92307692,23.07692308,140,42,182,Null_summary
N2,91.79810726,8.201892744,291,26,317,Null_summary
N3,99.64912281,0.350877193,284,1,285,Null_summary
N4,89.88764045,10.11235955,240,27,267,Null_summary
N5,95.92760181,4.07239819,212,9,221,Null_summary
N6,82.29166667,17.70833333,158,34,192,Null_summary
N7,83.60655738,16.39344262,153,30,183,Null_summary
N8,81.38297872,18.61702128,153,35,188,Null_summary
N2,89.83606557,10.16393443,274,31,305,Null_summary
N3,98.90909091,1.090909091,272,3,275,Null_summary
N4,93.86281588,6.137184116,260,17,277,Null_summary
N5,94.092827,5.907172996,223,14,237,Null_summary
N6,83.16831683,16.83168317,168,34,202,Null_summary
N7,85.55555556,14.44444444,154,26,180,Null_summary
N8,77.59562842,22.40437158,142,41,183,Null_summary
N2,88.85135135,11.14864865,263,33,296,Null_summary
N3,98.91304348,1.086956522,273,3,276,Null_summary
N4,93.33333333,6.666666667,252,18,270,Null_summary
N5,89.59276018,10.40723982,198,23,221,Null_summary
N6,82.85714286,17.14285714,145,30,175,Null_summary
N7,89.53488372,10.46511628,154,18,172,Null_summary
N8,83.05084746,16.94915254,147,30,177,Null_summary
N2,92.85714286,7.142857143,286,22,308,Null_summary
N3,99.29078014,0.709219858,280,2,282,Null_summary
N4,94.83394834,5.166051661,257,14,271,Null_summary
N5,92.5,7.5,222,18,240,Null_summary
N6,87.17948718,12.82051282,170,25,195,Null_summary
N7,86.17021277,13.82978723,162,26,188,Null_summary
N8,78.91891892,21.08108108,146,39,185,Null_summary
N2,87.19512195,12.80487805,286,42,328,Null_summary
N3,98.63013699,1.369863014,288,4,292,Null_summary
N4,92.12598425,7.874015748,234,20,254,Null_summary
N5,94.27312775,5.726872247,214,13,227,Null_summary
N6,82.72251309,17.27748691,158,33,191,Null_summary
N7,83.79888268,16.20111732,150,29,179,Null_summary
N8,82.01058201,17.98941799,155,34,189,Null_summary
N2,88.63636364,11.36363636,273,35,308,Null_summary
N3,98.92857143,1.071428571,277,3,280,Null_summary
N4,92.60700389,7.392996109,238,19,257,Null_summary
N5,93.36283186,6.637168142,211,15,226,Null_summary
N6,85.24590164,14.75409836,156,27,183,Null_summary
N7,87.86127168,12.13872832,152,21,173,Null_summary
N8,83.97790055,16.02209945,152,29,181,Null_summary
N2,90.66666667,9.333333333,272,28,300,Null_summary
N3,99.27007299,0.729927007,272,2,274,Null_summary
N4,94.11764706,5.882352941,240,15,255,Null_summary
N5,90.35087719,9.649122807,206,22,228,Null_summary
N6,86.29441624,13.70558376,170,27,197,Null_summary
N7,88.82681564,11.17318436,159,20,179,Null_summary
N8,85.32608696,14.67391304,157,27,184,Null_summary
N2,89.15254237,10.84745763,263,32,295,Null_summary
N3,99.24242424,0.757575758,262,2,264,Null_summary
N4,94.02390438,5.976095618,236,15,251,Null_summary
N5,91.85520362,8.14479638,203,18,221,Null_summary
N6,83.06010929,16.93989071,152,31,183,Null_summary
N7,88.13559322,11.86440678,156,21,177,Null_summary
N8,78.02197802,21.97802198,142,40,182,Null_summary
N2,92.88135593,7.118644068,274,21,295,Null_summary
N3,99.25650558,0.743494424,267,2,269,Null_summary
N4,92.83018868,7.169811321,246,19,265,Null_summary
N5,91.81818182,8.181818182,202,18,220,Null_summary
N6,84.61538462,15.38461538,143,26,169,Null_summary
N7,89.18918919,10.81081081,165,20,185,Null_summary
N8,83.87096774,16.12903226,156,30,186,Null_summary
N2,91.08910891,8.910891089,276,27,303,Null_summary
N3,99.62962963,0.37037037,269,1,270,Null_summary
N4,91.57509158,8.424908425,250,23,273,Null_summary
N5,95.04132231,4.958677686,230,12,242,Null_summary
N6,84.375,15.625,162,30,192,Null_summary
N7,83.52272727,16.47727273,147,29,176,Null_summary
N8,80.76923077,19.23076923,147,35,182,Null_summary
