Symbol name,Gene,Le1-1,Le1-2,Le1-3,So1-1,So1-2,So1-3,Pi-1,Pi-2,Pi-3,Sb-1,Sb-2,Sb-3,Xy-1,Xy-2,Xy-3,Ph-1,Ph-2,Ph-3
AspiHCT38,Aspi01Gene26206,1.686169242,1.581442086,1.882580434,2.071581199,1.885508951,1.991919958,2.338035413,1.87019018,1.715301601,0.93888108,0.936342433,1.037361268,22.8515189,18.82732609,22.90489297,6.539646247,5.284268878,6.006253314
AspiCSE18,Aspi01Gene37595,9.465784174,8.95185114,10.56370895,11.62940234,9.74319229,11.16305401,3.859144239,3.895401952,4.130528558,9.7779339,8.317451857,7.543144508,31.53949572,31.65542036,34.00463336,17.35222206,14.27614944,15.39632219
AspiCCoAOMT4,Aspi01Gene45867,1.935194236,2.007908858,2.467695613,7.51298363,9.235840164,7.77148839,5.034539238,4.497203636,4.13109237,0.812774125,0.810576459,0.227760427,38.20792273,35.29999258,36.23896666,6.558943246,5.514820965,7.152568149
AspiCCoAOMT1,Aspi01Gene06453,4.558439328,5.103235371,4.042662321,27.07789921,24.69378112,24.8186069,2.703198198,2.621591738,2.272358449,1.342962232,1.607197185,1.463182353,94.15253299,92.27774747,101.9210697,19.86212203,15.3438434,18.52634668
AspiC4H2,Aspi01Gene53936,0.118472675,0.209530002,0.154787329,9.460897797,8.427845036,8.393475241,5.523316733,5.334305674,4.521028508,17.62264884,14.95597941,11.64282522,105.8640185,110.8627414,100.2252007,23.93788948,22.93893637,22.72544542
AspiHCT64,Aspi01Gene47340,2.650453048,1.544968207,2.365652215,0.317090331,0.341890479,0.296864783,37.12660985,32.49254256,32.67498528,1.667685498,2.1482693,1.717433361,129.270637,124.6521483,115.8665033,63.0663852,58.58535207,56.14944992
AspiPAL4,Aspi01Gene63625,13.69559857,14.44554322,13.6934747,20.45211208,18.68314082,17.40191983,57.342423,54.92049702,53.41820037,33.34334527,33.22848279,27.21465852,135.3393251,136.8793394,137.1416621,22.37001845,22.74010109,22.2277088
AspiC3H3,Aspi01Gene43786,7.750846961,6.46964175,8.770011919,65.13576216,68.56316299,68.71423789,41.92055777,36.76779387,33.69042204,62.03491355,62.18209547,55.57344109,176.7347439,166.7279879,164.011652,67.0379704,66.3318013,67.60393645
AspiCCR5b,Aspi01Gene20254,146.4606603,152.4896495,144.7472036,74.26877547,71.86790207,86.02215487,25.45635312,29.80259373,28.86489743,11.20800466,12.33764919,12.85346989,175.0573668,170.5017097,168.5863263,34.04726035,35.35693298,35.45896977
AspiC4H3,Aspi01Gene20905,6.021106079,5.15730946,5.19273829,12.62749086,11.73481229,11.61204983,29.18527144,26.57313669,29.56291059,36.79231075,38.42065786,28.56832734,225.3112118,216.8717733,216.9126427,44.18840972,44.83265286,43.26556133
AspiCAD32,Aspi01Gene38285,1.815933632,1.829666355,2.001577787,32.26170126,36.33445583,34.29992032,40.32546607,40.58924246,45.69955699,71.95433451,72.37442148,69.47979098,250.3644569,243.8770109,242.3616144,115.9734989,109.3039146,111.6827068
